behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_all_objects_36ab389c.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_delimiter_tests_c9d034dc.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_redlines_word/behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc_redline.docx
behavior__math_delimiter_tests_c9d034dc_behavior__math_eqarr_tests_40a1adb0	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_delimiter_tests_c9d034dc.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_eqarr_tests_40a1adb0.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_redlines_word/behavior__math_delimiter_tests_c9d034dc_behavior__math_eqarr_tests_40a1adb0_redline.docx
behavior__math_eqarr_tests_40a1adb0_behavior__math_func_tests_0434dd11	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_eqarr_tests_40a1adb0.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_func_tests_0434dd11.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_redlines_word/behavior__math_eqarr_tests_40a1adb0_behavior__math_func_tests_0434dd11_redline.docx
behavior__math_func_tests_0434dd11_behavior__math_groupchr_tests_4a4970fc	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_func_tests_0434dd11.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_groupchr_tests_4a4970fc.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_redlines_word/behavior__math_func_tests_0434dd11_behavior__math_groupchr_tests_4a4970fc_redline.docx
behavior__math_groupchr_tests_4a4970fc_behavior__math_limit_tests_6dc07867	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_groupchr_tests_4a4970fc.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_limit_tests_6dc07867.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_redlines_word/behavior__math_groupchr_tests_4a4970fc_behavior__math_limit_tests_6dc07867_redline.docx
behavior__math_limit_tests_6dc07867_behavior__math_matrix_tests_a3b17e15	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_limit_tests_6dc07867.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_matrix_tests_a3b17e15.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_redlines_word/behavior__math_limit_tests_6dc07867_behavior__math_matrix_tests_a3b17e15_redline.docx
behavior__math_matrix_tests_a3b17e15_behavior__math_nary_tests_dde91168	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_matrix_tests_a3b17e15.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_nary_tests_dde91168.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_redlines_word/behavior__math_matrix_tests_a3b17e15_behavior__math_nary_tests_dde91168_redline.docx
behavior__math_nary_tests_dde91168_behavior__math_phantom_tests_263131a8	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_nary_tests_dde91168.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_phantom_tests_263131a8.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_redlines_word/behavior__math_nary_tests_dde91168_behavior__math_phantom_tests_263131a8_redline.docx
behavior__math_phantom_tests_263131a8_behavior__math_radical_tests_4c1ce187	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_phantom_tests_263131a8.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_radical_tests_4c1ce187.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_redlines_word/behavior__math_phantom_tests_263131a8_behavior__math_radical_tests_4c1ce187_redline.docx
behavior__math_radical_tests_4c1ce187_behavior__multi_image_types_b962a2b8	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__math_radical_tests_4c1ce187.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_source/behavior__multi_image_types_b962a2b8.docx	/Users/arthrod/temp/T/neurotic_docx_bench/corpus/word_redlines_superdoc/docx_redlines_word/behavior__math_radical_tests_4c1ce187_behavior__multi_image_types_b962a2b8_redline.docx
